,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp,month,day_of_year,year,heatwave_label
0,18.8,72.8,299.05432,298.09018,0.0,0.0,101133.75,1,1,2013,0
1,19.05,72.8,299.3642,297.88724,0.0,0.0,101130.88,1,1,2013,0
2,18.8,72.8,298.8977,297.47516,2.29e-06,2.9e-07,101268.055,1,2,2013,0
3,19.05,72.8,299.39655,297.32275,7.63e-06,7.63e-07,101269.91,1,2,2013,0
4,18.8,72.8,298.57944,296.75388,0.0,0.0,101311.086,1,3,2013,0
5,19.05,72.8,299.05615,296.3904,0.0,0.0,101314.68,1,3,2013,0
6,18.8,72.8,298.4343,296.3357,0.0,0.0,101302.63,1,4,2013,0
7,19.05,72.8,298.7774,295.84305,0.0,0.0,101304.74,1,4,2013,0
8,18.8,72.8,297.8847,295.87662,0.0,0.0,101147.32,1,5,2013,0
9,19.05,72.8,298.287,295.4759,0.0,0.0,101149.195,1,5,2013,0
10,18.8,72.8,297.40955,295.43445,0.0,0.0,101176.805,1,6,2013,0
11,19.05,72.8,297.8161,295.05807,0.0,0.0,101180.37,1,6,2013,0
12,18.8,72.8,298.1978,295.7511,0.0,0.0,101205.43,1,7,2013,0
13,19.05,72.8,298.76917,295.44705,0.0,0.0,101208.03,1,7,2013,0
14,18.8,72.8,298.74796,296.6056,0.0,0.0,101255.69,1,8,2013,0
15,19.05,72.8,299.54083,296.22195,0.0,0.0,101259.24,1,8,2013,0
16,18.8,72.8,299.8083,297.26416,0.0,0.0,101311.07,1,9,2013,0
17,19.05,72.8,300.4559,296.95016,0.0,0.0,101316.66,1,9,2013,0
18,18.8,72.8,299.5207,297.43356,0.0,0.0,101278.51,1,10,2013,0
19,19.05,72.8,300.2797,297.11996,0.0,0.0,101285.01,1,10,2013,0
20,18.8,72.8,301.03986,298.10245,0.0,0.0,101264.12,1,11,2013,0
21,19.05,72.8,301.16415,297.79172,0.0,0.0,101275.54,1,11,2013,0
22,18.8,72.8,300.26932,297.8939,0.0,0.0,101385.73,1,12,2013,0
23,19.05,72.8,300.73334,297.62793,0.0,0.0,101394.53,1,12,2013,0
24,18.8,72.8,300.1906,297.85342,0.0,0.0,101293.586,1,13,2013,0
25,19.05,72.8,301.17047,297.71463,0.0,0.0,101297.06,1,13,2013,0
26,18.8,72.8,300.06335,297.9689,0.0,0.0,101228.65,1,14,2013,0
27,19.05,72.8,300.72012,297.7538,0.0,0.0,101230.13,1,14,2013,0
28,18.8,72.8,299.58344,297.4833,0.0,0.0,101284.85,1,15,2013,0
29,19.05,72.8,300.1543,297.2038,0.0,0.0,101289.32,1,15,2013,0
30,18.8,72.8,299.16925,297.50723,0.0,0.0,101304.164,1,16,2013,0
31,19.05,72.8,299.90918,297.2703,0.0,0.0,101304.6,1,16,2013,0
32,18.8,72.8,298.35748,297.0621,0.0,0.0,101364.336,1,17,2013,0
33,19.05,72.8,298.67676,296.9247,0.0,0.0,101361.07,1,17,2013,0
34,18.8,72.8,297.23563,296.11975,1.23e-05,1.5e-06,101592.71,1,18,2013,0
35,19.05,72.8,297.37344,295.91763,6.49e-06,1.02e-06,101601.76,1,18,2013,0
36,18.8,72.8,298.10812,295.36044,0.0,0.0,101567.78,1,19,2013,0
37,19.05,72.8,298.4988,295.0726,0.0,0.0,101580.71,1,19,2013,0
38,18.8,72.8,299.05307,296.4653,0.0,0.0,101423.32,1,20,2013,0
39,19.05,72.8,299.56537,296.16232,0.0,0.0,101431.22,1,20,2013,0
40,18.8,72.8,298.4272,296.4663,0.0,0.0,101456.01,1,21,2013,0
41,19.05,72.8,298.94617,296.21042,0.0,0.0,101459.87,1,21,2013,0
42,18.8,72.8,298.69064,296.61798,0.0,0.0,101395.03,1,22,2013,0
43,19.05,72.8,299.37744,296.41483,0.0,0.0,101396.56,1,22,2013,0
44,18.8,72.8,297.7742,296.28735,0.0,0.0,101412.586,1,23,2013,0
45,19.05,72.8,298.3422,296.11157,0.0,0.0,101409.65,1,23,2013,0
46,18.8,72.8,297.73816,296.01495,0.0,0.0,101386.94,1,24,2013,0
47,19.05,72.8,298.38574,295.87518,0.0,0.0,101387.0,1,24,2013,0
48,18.8,72.8,298.15063,296.1899,0.0,0.0,101419.13,1,25,2013,0
49,19.05,72.8,298.72137,296.02274,9.53e-08,3.97e-09,101420.96,1,25,2013,0
50,18.8,72.8,298.32556,296.3972,0.0,0.0,101448.195,1,26,2013,0
51,19.05,72.8,299.01218,296.2582,1.91e-07,1.19e-08,101449.88,1,26,2013,0
52,18.8,72.8,299.2652,296.93433,0.0,0.0,101437.54,1,27,2013,0
53,19.05,72.8,299.88477,296.7589,0.0,0.0,101441.99,1,27,2013,0
54,18.8,72.8,298.80084,296.92276,0.0,0.0,101392.44,1,28,2013,0
55,19.05,72.8,299.36798,296.75317,0.0,0.0,101395.1,1,28,2013,0
56,18.8,72.8,298.6581,296.8964,0.0,0.0,101339.6,1,29,2013,0
57,19.05,72.8,299.22528,296.61954,0.0,0.0,101339.52,1,29,2013,0
58,18.8,72.8,298.58502,296.6925,0.0,0.0,101346.27,1,30,2013,0
59,19.05,72.8,299.18378,296.46683,0.0,0.0,101345.15,1,30,2013,0
60,18.8,72.8,298.7965,296.9616,0.0,0.0,101361.18,1,31,2013,0
61,19.05,72.8,299.45236,296.91183,0.0,0.0,101361.625,1,31,2013,0
62,18.8,72.8,299.6894,297.69672,0.0,0.0,101344.0,2,32,2013,0
63,19.05,72.8,300.23016,297.62296,0.0,0.0,101343.37,2,32,2013,0
64,18.8,72.8,299.02734,297.7022,0.0,0.0,101333.23,2,33,2013,0
65,19.05,72.8,299.76123,297.74237,0.0,0.0,101332.73,2,33,2013,0
66,18.8,72.8,299.2293,297.822,0.0,0.0,101241.6,2,34,2013,0
67,19.05,72.8,299.9442,297.87576,0.0,0.0,101237.62,2,34,2013,0
68,18.8,72.8,298.19357,297.21274,4.77e-07,3.97e-08,101316.46,2,35,2013,0
69,19.05,72.8,298.6895,297.17892,1.14e-06,1.11e-07,101313.4,2,35,2013,0
70,18.8,72.8,298.05325,296.8669,0.000130084,2.37e-05,101454.25,2,36,2013,0
71,19.05,72.8,298.42435,296.90427,0.000143702,2.64e-05,101456.97,2,36,2013,0
72,18.8,72.8,297.30594,296.21716,0.0,0.0,101629.914,2,37,2013,0
73,19.05,72.8,297.58362,296.1127,0.0,0.0,101636.76,2,37,2013,0
74,18.8,72.8,297.6671,295.93826,0.0,0.0,101366.12,2,38,2013,0
75,19.05,72.8,298.19647,295.8477,0.0,0.0,101368.81,2,38,2013,0
76,18.8,72.8,298.17877,296.53134,0.0,0.0,101189.5,2,39,2013,0
77,19.05,72.8,299.13605,296.57242,0.0,0.0,101184.13,2,39,2013,0
78,18.8,72.8,300.14346,297.68875,0.0,0.0,101045.96,2,40,2013,0
79,19.05,72.8,301.18445,297.77103,0.0,0.0,101045.76,2,40,2013,0
80,18.8,72.8,299.2141,297.76907,0.0,0.0,101065.305,2,41,2013,0
81,19.05,72.8,299.83722,297.76138,0.0,0.0,101061.47,2,41,2013,0
82,18.8,72.8,300.04617,298.44547,0.0,0.0,101071.664,2,42,2013,0
83,19.05,72.8,301.12366,298.54248,0.0,0.0,101072.51,2,42,2013,0
84,18.8,72.8,301.5864,299.54654,0.0,0.0,101050.805,2,43,2013,0
85,19.05,72.8,302.47534,299.68216,9.53e-08,3.97e-09,101053.9,2,43,2013,0
86,18.8,72.8,302.11447,299.85123,0.0,0.0,100981.43,2,44,2013,0
87,19.05,72.8,302.70557,299.99588,0.0,0.0,100985.695,2,44,2013,0
88,18.8,72.8,300.4041,299.18802,0.0,0.0,100937.4,2,45,2013,0
89,19.05,72.8,301.1552,299.39664,0.0,0.0,100935.414,2,45,2013,0
90,18.8,72.8,299.70532,298.6893,0.0,0.0,100945.46,2,46,2013,0
91,19.05,72.8,299.91766,298.5544,0.0,0.0,100938.09,2,46,2013,0
92,18.8,72.8,298.32126,297.53204,8.17e-05,9.15e-06,100973.84,2,47,2013,0
93,19.05,72.8,298.07135,297.4576,3.83e-05,4.23e-06,100970.78,2,47,2013,0
94,18.8,72.8,298.01733,296.05862,0.0,0.0,101084.75,2,48,2013,0
95,19.05,72.8,298.53644,296.0688,0.0,0.0,101084.31,2,48,2013,0
96,18.8,72.8,300.22528,297.21243,0.0,0.0,101087.72,2,49,2013,0
97,19.05,72.8,300.82364,297.17325,0.0,0.0,101092.98,2,49,2013,0
98,18.8,72.8,300.5923,298.05984,0.0,0.0,101102.91,2,50,2013,0
99,19.05,72.8,301.2694,298.1063,0.0,0.0,101103.35,2,50,2013,0
100,18.8,72.8,300.67117,298.5436,0.0,0.0,101157.055,2,51,2013,0
101,19.05,72.8,301.28937,298.62134,0.0,0.0,101160.74,2,51,2013,0
102,18.8,72.8,300.1586,298.49533,0.0,0.0,101187.54,2,52,2013,0
103,19.05,72.8,300.93826,298.5028,0.0,0.0,101183.59,2,52,2013,0
104,18.8,72.8,299.62308,298.03738,0.0,0.0,101323.13,2,53,2013,0
105,19.05,72.8,300.3367,298.017,9.53e-08,3.97e-09,101319.85,2,53,2013,0
106,18.8,72.8,299.41553,297.79852,0.0,0.0,101416.9,2,54,2013,0
107,19.05,72.8,300.24072,297.78842,0.0,0.0,101416.82,2,54,2013,0
108,18.8,72.8,300.9329,298.16367,0.0,0.0,101363.53,2,55,2013,0
109,19.05,72.8,301.38318,298.14426,0.0,0.0,101372.48,2,55,2013,0
110,18.8,72.8,299.93643,298.23422,0.0,0.0,101297.59,2,56,2013,0
111,19.05,72.8,300.7532,298.27863,0.0,0.0,101296.195,2,56,2013,0
112,18.8,72.8,299.61627,298.2181,0.0,0.0,101389.664,2,57,2013,0
113,19.05,72.8,300.35767,298.17203,0.0,0.0,101387.76,2,57,2013,0
