,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp,month,day_of_year,year,heatwave_label
0,18.8,72.8,298.4165,297.08255,0.0,0.0,101180.31,1,1,2012,0
1,19.05,72.8,298.7636,296.96805,0.0,0.0,101188.88,1,1,2012,0
2,18.8,72.8,298.37823,296.42886,0.0,0.0,101180.44,1,2,2012,0
3,19.05,72.8,299.0282,296.2494,0.0,0.0,101185.03,1,2,2012,0
4,18.8,72.8,298.8562,296.9651,0.0,0.0,101182.13,1,3,2012,0
5,19.05,72.8,299.4902,296.69504,0.0,0.0,101180.77,1,3,2012,0
6,18.8,72.8,298.2823,296.4855,9.53e-08,7.94e-09,101201.56,1,4,2012,0
7,19.05,72.8,298.96832,296.2083,4.77e-07,3.58e-08,101201.875,1,4,2012,0
8,18.8,72.8,299.34198,296.9696,0.0,0.0,101300.62,1,5,2012,0
9,19.05,72.8,300.2144,296.83798,0.0,0.0,101304.375,1,5,2012,0
10,18.8,72.8,298.935,297.12463,0.0,0.0,101401.27,1,6,2012,0
11,19.05,72.8,299.6479,296.91772,0.0,0.0,101402.1,1,6,2012,0
12,18.8,72.8,298.29865,296.38754,0.0,0.0,101517.81,1,7,2012,0
13,19.05,72.8,298.95746,296.2338,0.0,0.0,101520.086,1,7,2012,0
14,18.8,72.8,298.39557,296.3217,0.0,0.0,101584.1,1,8,2012,0
15,19.05,72.8,298.81244,296.09756,0.0,0.0,101590.87,1,8,2012,0
16,18.8,72.8,297.68076,295.44614,0.0,0.0,101490.88,1,9,2012,0
17,19.05,72.8,298.07617,295.19662,0.0,0.0,101499.875,1,9,2012,0
18,18.8,72.8,298.46802,295.806,0.0,0.0,101391.586,1,10,2012,0
19,19.05,72.8,298.75137,295.53558,0.0,0.0,101406.23,1,10,2012,0
20,18.8,72.8,299.31247,296.38028,0.0,0.0,101439.16,1,11,2012,0
21,19.05,72.8,299.43103,296.03287,0.0,0.0,101460.414,1,11,2012,0
22,18.8,72.8,299.75412,296.61118,0.0,0.0,101448.6,1,12,2012,0
23,19.05,72.8,299.74136,296.1886,0.0,0.0,101466.49,1,12,2012,0
24,18.8,72.8,299.63177,296.75735,0.0,0.0,101454.85,1,13,2012,0
25,19.05,72.8,299.8101,296.43207,0.0,0.0,101468.195,1,13,2012,0
26,18.8,72.8,300.01318,296.8677,0.0,0.0,101354.055,1,14,2012,0
27,19.05,72.8,300.4521,296.58844,0.0,0.0,101359.87,1,14,2012,0
28,18.8,72.8,298.83954,296.52048,0.0,0.0,101226.35,1,15,2012,0
29,19.05,72.8,299.71954,296.33914,0.0,0.0,101230.555,1,15,2012,0
30,18.8,72.8,297.94525,296.13898,0.0,0.0,101122.71,1,16,2012,0
31,19.05,72.8,298.53308,295.94366,0.0,0.0,101124.52,1,16,2012,0
32,18.8,72.8,297.48846,295.59232,0.0,0.0,101030.78,1,17,2012,0
33,19.05,72.8,298.05707,295.4179,0.0,0.0,101030.87,1,17,2012,0
34,18.8,72.8,296.14993,295.18637,0.0,0.0,101070.38,1,18,2012,0
35,19.05,72.8,296.35406,295.071,0.0,0.0,101069.74,1,18,2012,0
36,18.8,72.8,295.87115,294.69266,2.19e-06,2.15e-07,101111.78,1,19,2012,0
37,19.05,72.8,296.1271,294.4996,1.91e-06,1.99e-07,101111.01,1,19,2012,0
38,18.8,72.8,297.01767,294.9388,0.0,0.0,101236.54,1,20,2012,0
39,19.05,72.8,297.45828,294.7888,0.0,0.0,101241.164,1,20,2012,0
40,18.8,72.8,298.5216,295.75107,0.0,0.0,101144.76,1,21,2012,0
41,19.05,72.8,299.0712,295.5007,0.0,0.0,101146.35,1,21,2012,0
42,18.8,72.8,297.0414,295.96136,9.53e-08,3.97e-09,101295.34,1,22,2012,0
43,19.05,72.8,297.2782,295.69363,3.81e-07,1.59e-08,101293.055,1,22,2012,0
44,18.8,72.8,297.50806,295.71414,0.0,0.0,101349.09,1,23,2012,0
45,19.05,72.8,298.2025,295.64215,0.0,0.0,101351.81,1,23,2012,0
46,18.8,72.8,299.2448,296.62552,0.0,0.0,101222.88,1,24,2012,0
47,19.05,72.8,299.93817,296.53513,0.0,0.0,101223.51,1,24,2012,0
48,18.8,72.8,297.99628,296.40784,0.0,0.0,101215.19,1,25,2012,0
49,19.05,72.8,298.68484,296.3204,0.0,0.0,101212.07,1,25,2012,0
50,18.8,72.8,297.88354,296.11838,0.0,0.0,101338.32,1,26,2012,0
51,19.05,72.8,298.4583,296.07132,0.0,0.0,101340.836,1,26,2012,0
52,18.8,72.8,297.9684,296.09195,0.0,0.0,101238.875,1,27,2012,0
53,19.05,72.8,298.55157,296.0422,0.0,0.0,101240.195,1,27,2012,0
54,18.8,72.8,297.88138,295.86935,0.0,0.0,101234.57,1,28,2012,0
55,19.05,72.8,298.31235,295.7184,0.0,0.0,101238.47,1,28,2012,0
56,18.8,72.8,297.19012,295.02347,0.0,0.0,101259.125,1,29,2012,0
57,19.05,72.8,297.63367,294.83975,0.0,0.0,101264.625,1,29,2012,0
58,18.8,72.8,297.75732,295.32446,0.0,0.0,101229.49,1,30,2012,0
59,19.05,72.8,298.75983,295.32297,0.0,0.0,101229.91,1,30,2012,0
60,18.8,72.8,298.65247,296.63907,0.0,0.0,101327.47,1,31,2012,0
61,19.05,72.8,299.24908,296.6924,0.0,0.0,101332.805,1,31,2012,0
62,18.8,72.8,299.75085,297.43063,0.0,0.0,101365.22,2,32,2012,0
63,19.05,72.8,300.27417,297.56778,0.0,0.0,101376.055,2,32,2012,0
64,18.8,72.8,301.168,297.8414,0.0,0.0,101397.87,2,33,2012,0
65,19.05,72.8,301.38565,297.90985,0.0,0.0,101405.1,2,33,2012,0
66,18.8,72.8,299.9428,297.8645,0.0,0.0,101372.25,2,34,2012,0
67,19.05,72.8,300.61133,297.9169,0.0,0.0,101377.4,2,34,2012,0
68,18.8,72.8,298.76376,297.48605,0.0,0.0,101293.336,2,35,2012,0
69,19.05,72.8,299.48193,297.564,0.0,0.0,101293.07,2,35,2012,0
70,18.8,72.8,299.11664,297.2025,0.0,0.0,101298.836,2,36,2012,0
71,19.05,72.8,299.76987,297.18118,0.0,0.0,101303.945,2,36,2012,0
72,18.8,72.8,298.30713,296.88608,0.0,0.0,101254.59,2,37,2012,0
73,19.05,72.8,299.0802,296.86722,0.0,0.0,101256.625,2,37,2012,0
74,18.8,72.8,297.38528,296.39145,0.0,0.0,101271.38,2,38,2012,0
75,19.05,72.8,297.82614,296.26437,0.0,0.0,101277.664,2,38,2012,0
76,18.8,72.8,296.63483,294.76672,0.0,0.0,101371.164,2,39,2012,0
77,19.05,72.8,296.8352,294.47018,0.0,0.0,101389.82,2,39,2012,0
