,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp,month,day_of_year,year,heatwave_label
0,18.8,72.8,297.62848,296.2935,0.0,0.0,101397.63,1,1,2020,0
1,19.05,72.8,297.8888,295.97708,3.81e-07,1.59e-08,101398.53,1,1,2020,0
2,18.8,72.8,298.0075,296.7277,0.0,0.0,101585.71,1,2,2020,0
3,19.05,72.8,298.3086,296.4684,0.0,0.0,101587.625,1,2,2020,0
4,18.8,72.8,297.79413,296.30576,7.63e-07,5.17e-08,101547.22,1,3,2020,0
5,19.05,72.8,298.2498,296.25482,3.81e-07,1.59e-08,101549.82,1,3,2020,0
6,18.8,72.8,298.2703,296.1717,0.0,0.0,101365.51,1,4,2020,0
7,19.05,72.8,298.59045,296.0474,0.0,0.0,101371.31,1,4,2020,0
8,18.8,72.8,300.09167,297.3109,0.0,0.0,101268.79,1,5,2020,0
9,19.05,72.8,300.2049,297.162,0.0,0.0,101280.57,1,5,2020,0
10,18.8,72.8,300.25485,298.3906,0.0,0.0,101332.94,1,6,2020,0
11,19.05,72.8,300.53815,298.17838,0.0,0.0,101342.875,1,6,2020,0
12,18.8,72.8,299.58658,298.29022,0.0,0.0,101316.19,1,7,2020,0
13,19.05,72.8,299.7439,298.1397,0.0,0.0,101312.88,1,7,2020,0
14,18.8,72.8,298.67712,297.56412,4.58e-05,6.27e-06,101326.43,1,8,2020,0
15,19.05,72.8,298.88174,297.4734,2.97e-05,5.35e-06,101324.34,1,8,2020,0
16,18.8,72.8,298.68347,296.59152,9.53e-08,3.97e-09,101372.28,1,9,2020,0
17,19.05,72.8,299.0487,296.5358,0.0,0.0,101379.76,1,9,2020,0
18,18.8,72.8,300.12128,297.60562,0.0,0.0,101270.31,1,10,2020,0
19,19.05,72.8,300.66388,297.44223,0.0,0.0,101278.79,1,10,2020,0
20,18.8,72.8,300.88547,298.57452,0.0,0.0,101334.81,1,11,2020,0
21,19.05,72.8,300.9554,298.42422,0.0,0.0,101338.48,1,11,2020,0
