sr,latitude,longitude,valid_time,t2m,temp,tp
121,18.4,73.5,01-05-24,303.81995,30.66995,0
122,18.4,73.5,02-05-24,301.87817,28.72817,0
123,18.4,73.5,03-05-24,301.582,28.432,0
124,18.4,73.5,04-05-24,301.958,28.808,9.54E-08
125,18.4,73.5,05-05-24,302.47345,29.32345,7.87E-07
126,18.4,73.5,06-05-24,301.89157,28.74157,0
127,18.4,73.5,07-05-24,301.50168,28.35168,7.15E-08
128,18.4,73.5,08-05-24,301.4897,28.3397,4.25E-07
129,18.4,73.5,09-05-24,301.47266,28.32266,5.94E-06
130,18.4,73.5,10-05-24,300.615,27.465,2.57E-06
131,18.4,73.5,11-05-24,301.3451,28.1951,0.000172107
132,18.4,73.5,12-05-24,301.0546,27.9046,3.86E-05
133,18.4,73.5,13-05-24,301.2122,28.0622,0.000257655
134,18.4,73.5,14-05-24,301.8436,28.6936,8.42E-05
135,18.4,73.5,15-05-24,302.3279,29.1779,6.96E-05
136,18.4,73.5,16-05-24,301.85205,28.70205,0.000139161
137,18.4,73.5,17-05-24,301.91568,28.76568,4.18E-05
138,18.4,73.5,18-05-24,302.37546,29.22546,7.79E-05
139,18.4,73.5,19-05-24,302.63388,29.48388,0.000251889
140,18.4,73.5,20-05-24,302.56992,29.41992,0.000106275
141,18.4,73.5,21-05-24,303.3343,30.1843,2.73E-05
142,18.4,73.5,22-05-24,302.80447,29.65447,0.000182676
143,18.4,73.5,23-05-24,303.04343,29.89343,2.08E-05
144,18.4,73.5,24-05-24,302.2007,29.0507,4.52E-06
145,18.4,73.5,25-05-24,301.3654,28.2154,8.60E-06
146,18.4,73.5,26-05-24,301.35202,28.20202,3.99E-05
147,18.4,73.5,27-05-24,300.03555,26.88555,6.64E-05
148,18.4,73.5,28-05-24,301.55664,28.40664,5.21E-05
149,18.4,73.5,29-05-24,301.39627,28.24627,3.04E-05
150,18.4,73.5,30-05-24,301.64362,28.49362,1.16E-05
151,18.4,73.5,31-05-24,302.58322,29.43322,2.08E-05
152,18.4,73.5,01-06-24,298.92053,25.77053,2.64E-05
153,18.4,73.5,02-06-24,,-273.15,
154,18.4,73.5,03-06-24,,-273.15,
155,18.4,73.5,04-06-24,,-273.15,
156,18.4,73.5,05-06-24,,-273.15,
157,18.4,73.5,06-06-24,,-273.15,
158,18.4,73.5,07-06-24,,-273.15,
159,18.4,73.5,08-06-24,,-273.15,
160,18.4,73.5,09-06-24,,-273.15,
161,18.4,73.5,10-06-24,,-273.15,
162,18.4,73.5,11-06-24,,-273.15,
163,18.4,73.5,12-06-24,,-273.15,
164,18.4,73.5,13-06-24,,-273.15,
165,18.4,73.5,14-06-24,,-273.15,
166,18.4,73.5,15-06-24,,-273.15,
167,18.4,73.5,16-06-24,,-273.15,
168,18.4,73.5,17-06-24,,-273.15,
169,18.4,73.5,18-06-24,,-273.15,
170,18.4,73.5,19-06-24,,-273.15,
171,18.4,73.5,20-06-24,,-273.15,
172,18.4,73.5,21-06-24,,-273.15,
173,18.4,73.5,22-06-24,,-273.15,
174,18.4,73.5,23-06-24,,-273.15,
175,18.4,73.5,24-06-24,,-273.15,
176,18.4,73.5,25-06-24,,-273.15,
177,18.4,73.5,26-06-24,,-273.15,
178,18.4,73.5,27-06-24,,-273.15,
179,18.4,73.5,28-06-24,,-273.15,
180,18.4,73.5,29-06-24,,-273.15,
181,18.4,73.5,30-06-24,,-273.15,
182,18.4,73.5,01-07-24,299.08936,25.93936,0.001230341
183,18.4,73.5,02-07-24,298.46265,25.31265,0.001770171
184,18.4,73.5,03-07-24,299.3518,26.2018,0.000469252
185,18.4,73.5,04-07-24,299.1304,25.9804,0.000652735
186,18.4,73.5,05-07-24,298.55618,25.40618,0.000697156
