latitude,longitude,valid_time,t2m,number
18.4,73.5,2024-06-04,,0
18.4,73.5,2024-06-05,,0
18.4,73.5,2024-06-06,,0
18.4,73.5,2024-06-07,,0
18.4,73.5,2024-06-08,,0
18.4,73.5,2024-06-09,,0
18.4,73.5,2024-06-10,,0
18.4,73.5,2024-06-11,,0
18.4,73.5,2024-06-12,,0
18.4,73.5,2024-06-13,,0
18.4,73.5,2024-06-14,,0
18.4,73.5,2024-06-15,,0
18.4,73.5,2024-06-16,,0
18.4,73.5,2024-06-17,,0
18.4,73.5,2024-06-18,,0
18.4,73.5,2024-06-19,,0
18.4,73.5,2024-06-20,,0
18.4,73.5,2024-06-21,,0
18.4,73.5,2024-06-22,,0
18.4,73.5,2024-06-23,,0
18.4,73.5,2024-06-24,,0
18.4,73.5,2024-06-25,,0
18.4,73.5,2024-06-26,,0
18.4,73.5,2024-06-27,,0
18.4,73.5,2024-06-28,,0
18.4,73.5,2024-06-29,,0
18.4,73.5,2024-06-30,,0
18.4,73.5,2024-07-01,299.08936,0
18.4,73.5,2024-07-02,298.46265,0
18.4,73.5,2024-07-03,299.3518,0
18.4,73.5,2024-07-04,299.1304,0
18.4,73.5,2024-07-05,298.55618,0
18.4,73.5,2024-07-06,298.4656,0
18.4,73.5,2024-07-07,298.47327,0
18.4,73.5,2024-07-08,297.53415,0
18.4,73.5,2024-07-09,297.16232,0
18.4,73.5,2024-07-10,297.90482,0
18.4,73.5,2024-07-11,297.6954,0
18.4,73.5,2024-07-12,297.17557,0
18.4,73.5,2024-07-13,296.89645,0
18.4,73.5,2024-07-14,297.16653,0
18.4,73.5,2024-07-15,297.88934,0
18.4,73.5,2024-07-16,297.6353,0
18.4,73.5,2024-07-17,297.6926,0
18.4,73.5,2024-07-18,297.42468,0
18.4,73.5,2024-07-19,297.36435,0
18.4,73.5,2024-07-20,297.1444,0
18.4,73.5,2024-07-21,297.23196,0
18.4,73.5,2024-07-22,296.9807,0
18.4,73.5,2024-07-23,297.0098,0
18.4,73.5,2024-07-24,296.8942,0
18.4,73.5,2024-07-25,296.47897,0
18.4,73.5,2024-07-26,297.38443,0
18.4,73.5,2024-07-27,297.47287,0
18.4,73.5,2024-07-28,297.39148,0
18.4,73.5,2024-07-29,297.4114,0
18.4,73.5,2024-07-30,297.7145,0
18.4,73.5,2024-07-31,297.7054,0
18.4,73.5,2024-08-01,296.81717,0
18.4,73.5,2024-08-02,,0
18.4,73.5,2024-08-03,,0
18.4,73.5,2024-08-04,,0
18.4,73.5,2024-08-05,,0
18.4,73.5,2024-08-06,,0
18.4,73.5,2024-08-07,,0
18.4,73.5,2024-08-08,,0
18.4,73.5,2024-08-09,,0
18.4,73.5,2024-08-10,,0
18.4,73.5,2024-08-11,,0
18.4,73.5,2024-08-12,,0
18.4,73.5,2024-08-13,,0
18.4,73.5,2024-08-14,,0
18.4,73.5,2024-08-15,,0
18.4,73.5,2024-08-16,,0
18.4,73.5,2024-08-17,,0
18.4,73.5,2024-08-18,,0
18.4,73.5,2024-08-19,,0
18.4,73.5,2024-08-20,,0
18.4,73.5,2024-08-21,,0
18.4,73.5,2024-08-22,,0
18.4,73.5,2024-08-23,,0
18.4,73.5,2024-08-24,,0
18.4,73.5,2024-08-25,,0
18.4,73.5,2024-08-26,,0
18.4,73.5,2024-08-27,,0
18.4,73.5,2024-08-28,,0
18.4,73.5,2024-08-29,,0
18.4,73.5,2024-08-30,,0
18.4,73.5,2024-08-31,,0
18.4,73.5,2024-09-01,298.09335,0
18.4,73.5,2024-09-02,297.12994,0
18.4,73.5,2024-09-03,297.38065,0
18.4,73.5,2024-09-04,297.71964,0
18.4,73.5,2024-09-05,297.32397,0
18.4,73.5,2024-09-06,297.65723,0
18.4,73.5,2024-09-07,297.81482,0
18.4,73.5,2024-09-08,297.98715,0
18.4,73.5,2024-09-09,297.741,0
18.4,73.5,2024-09-10,297.61276,0
18.4,73.5,2024-09-11,297.18948,0
18.4,73.5,2024-09-12,297.4119,0
18.4,73.5,2024-09-13,297.29678,0
18.4,73.5,2024-09-14,297.24274,0
18.4,73.5,2024-09-15,296.63232,0
18.4,73.5,2024-09-16,297.24664,0
18.4,73.5,2024-09-17,297.98358,0
18.4,73.5,2024-09-18,297.73877,0
18.4,73.5,2024-09-19,298.67056,0
18.4,73.5,2024-09-20,298.76355,0
18.4,73.5,2024-09-21,298.16556,0
18.4,73.5,2024-09-22,298.69608,0
18.4,73.5,2024-09-23,298.77194,0
18.4,73.5,2024-09-24,298.1385,0
18.4,73.5,2024-09-25,297.6716,0
18.4,73.5,2024-09-26,296.8918,0
18.4,73.5,2024-09-27,297.21548,0
18.4,73.5,2024-09-28,297.36716,0
18.4,73.5,2024-09-29,298.45627,0
18.4,73.5,2024-09-30,299.26376,0
18.4,73.5,2024-10-01,296.74844,0
18.4,73.5,2024-10-02,,0
18.4,73.5,2024-10-03,,0
18.4,73.5,2024-10-04,,0
18.4,73.5,2024-10-05,,0
18.4,73.5,2024-10-06,,0
18.4,73.5,2024-10-07,,0
18.4,73.5,2024-10-08,,0
18.4,73.5,2024-10-09,,0
18.4,73.5,2024-10-10,,0
18.4,73.5,2024-10-11,,0
18.4,73.5,2024-10-12,,0
18.4,73.5,2024-10-13,,0
18.4,73.5,2024-10-14,,0
18.4,73.5,2024-10-15,,0
18.4,73.5,2024-10-16,,0
18.4,73.5,2024-10-17,,0
18.4,73.5,2024-10-18,,0
18.4,73.5,2024-10-19,,0
18.4,73.5,2024-10-20,,0
18.4,73.5,2024-10-21,,0
18.4,73.5,2024-10-22,,0
18.4,73.5,2024-10-23,,0
18.4,73.5,2024-10-24,,0
18.4,73.5,2024-10-25,,0
18.4,73.5,2024-10-26,,0
18.4,73.5,2024-10-27,,0
18.4,73.5,2024-10-28,,0
18.4,73.5,2024-10-29,,0
18.4,73.5,2024-10-30,,0
18.4,73.5,2024-10-31,,0
18.4,73.5,2024-11-01,300.78683,0
18.4,73.5,2024-11-02,299.8386,0
18.4,73.5,2024-11-03,298.5697,0
18.4,73.5,2024-11-04,298.45078,0
18.4,73.5,2024-11-05,297.98578,0
18.4,73.5,2024-11-06,297.8702,0
18.4,73.5,2024-11-07,297.48547,0
18.4,73.5,2024-11-08,297.55002,0
18.4,73.5,2024-11-09,297.19635,0
18.4,73.5,2024-11-10,296.73645,0
18.4,73.5,2024-11-11,296.7122,0
18.4,73.5,2024-11-12,296.69308,0
18.4,73.5,2024-11-13,297.08096,0
18.4,73.5,2024-11-14,298.4189,0
18.4,73.5,2024-11-15,298.92673,0
18.4,73.5,2024-11-16,299.25888,0
18.4,73.5,2024-11-17,299.41418,0
18.4,73.5,2024-11-18,297.34283,0
18.4,73.5,2024-11-19,295.69876,0
18.4,73.5,2024-11-20,295.44547,0
18.4,73.5,2024-11-21,295.412,0
18.4,73.5,2024-11-22,295.26413,0
18.4,73.5,2024-11-23,295.20596,0
18.4,73.5,2024-11-24,295.22424,0
18.4,73.5,2024-11-25,294.8735,0
18.4,73.5,2024-11-26,294.38132,0
18.4,73.5,2024-11-27,294.1771,0
18.4,73.5,2024-11-28,293.97787,0
18.4,73.5,2024-11-29,293.7816,0
18.4,73.5,2024-11-30,293.8619,0
18.4,73.75,2024-01-01,295.23834,0
18.4,73.75,2024-01-02,295.40576,0
18.4,73.75,2024-01-03,295.3609,0
18.4,73.75,2024-01-04,295.24313,0
18.4,73.75,2024-01-05,294.49252,0
18.4,73.75,2024-01-06,294.5599,0
18.4,73.75,2024-01-07,295.3152,0
18.4,73.75,2024-01-08,296.08218,0
18.4,73.75,2024-01-09,295.07623,0
18.4,73.75,2024-01-10,293.87082,0
18.4,73.75,2024-01-11,296.16473,0
