,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp,month,day_of_year,year,heatwave_label
0,18.8,72.8,298.20917,296.4976,0.0,0.0,101631.97,1,1,2023,0
1,19.05,72.8,298.72485,296.25308,0.0,0.0,101634.01,1,1,2023,0
2,18.8,72.8,299.38324,297.1205,0.0,0.0,101527.6,1,2,2023,0
3,19.05,72.8,299.8863,296.8266,0.0,0.0,101535.57,1,2,2023,0
4,18.8,72.8,299.16626,297.13705,0.0,0.0,101511.31,1,3,2023,0
5,19.05,72.8,299.73416,296.86142,0.0,0.0,101515.04,1,3,2023,0
6,18.8,72.8,298.72202,297.03622,0.0,0.0,101403.15,1,4,2023,0
7,19.05,72.8,299.19128,296.79276,0.0,0.0,101404.82,1,4,2023,0
8,18.8,72.8,299.18402,297.5328,0.0,0.0,101444.06,1,5,2023,0
9,19.05,72.8,299.53738,297.30252,0.0,0.0,101446.53,1,5,2023,0
10,18.8,72.8,300.37936,298.33752,0.0,0.0,101597.12,1,6,2023,0
11,19.05,72.8,300.67838,298.17026,0.0,0.0,101603.25,1,6,2023,0
12,18.8,72.8,301.17126,298.94296,0.0,0.0,101591.96,1,7,2023,0
13,19.05,72.8,301.3487,298.7025,0.0,0.0,101601.4,1,7,2023,0
14,18.8,72.8,301.1502,298.6518,0.0,0.0,101509.79,1,8,2023,0
15,19.05,72.8,301.38892,298.49182,0.0,0.0,101515.54,1,8,2023,0
16,18.8,72.8,300.25974,298.00803,0.0,0.0,101603.03,1,9,2023,0
17,19.05,72.8,300.5177,297.77466,0.0,0.0,101610.04,1,9,2023,0
18,18.8,72.8,300.2532,297.67563,0.0,0.0,101549.34,1,10,2023,0
19,19.05,72.8,300.56442,297.46268,0.0,0.0,101557.84,1,10,2023,0
20,18.8,72.8,299.47455,297.2784,0.0,0.0,101376.625,1,11,2023,0
21,19.05,72.8,300.1093,297.1993,0.0,0.0,101378.91,1,11,2023,0
22,18.8,72.8,298.59094,296.59625,0.0,0.0,101314.44,1,12,2023,0
23,19.05,72.8,298.97427,296.4713,0.0,0.0,101316.53,1,12,2023,0
24,18.8,72.8,297.34116,296.0715,1.72e-05,2.29e-06,101416.53,1,13,2023,0
25,19.05,72.8,297.45563,295.92166,1.14e-06,7.95e-08,101420.34,1,13,2023,0
26,18.8,72.8,297.55093,295.15176,0.0,0.0,101405.54,1,14,2023,0
27,19.05,72.8,298.03644,295.0226,0.0,0.0,101411.21,1,14,2023,0
28,18.8,72.8,297.18024,295.06433,0.0,0.0,101240.0,1,15,2023,0
29,19.05,72.8,297.75415,294.91476,0.0,0.0,101241.445,1,15,2023,0
30,18.8,72.8,296.79123,295.22382,0.0,0.0,101246.125,1,16,2023,0
31,19.05,72.8,297.45386,295.0461,0.0,0.0,101246.03,1,16,2023,0
32,18.8,72.8,297.33752,295.308,0.0,0.0,101304.414,1,17,2023,0
33,19.05,72.8,297.97992,295.13797,0.0,0.0,101305.18,1,17,2023,0
34,18.8,72.8,298.13052,295.9132,0.0,0.0,101374.93,1,18,2023,0
35,19.05,72.8,298.63983,295.70645,0.0,0.0,101376.43,1,18,2023,0
36,18.8,72.8,298.01843,296.18378,0.0,0.0,101377.84,1,19,2023,0
37,19.05,72.8,298.76526,296.01852,1.91e-07,1.59e-08,101376.51,1,19,2023,0
38,18.8,72.8,297.8266,296.3793,9.53e-08,3.97e-09,101365.875,1,20,2023,0
39,19.05,72.8,298.41193,296.1097,3.81e-07,1.99e-08,101366.75,1,20,2023,0
40,18.8,72.8,297.88293,296.16873,0.0,0.0,101398.65,1,21,2023,0
41,19.05,72.8,298.4632,295.97403,0.0,0.0,101399.65,1,21,2023,0
42,18.8,72.8,297.31516,295.77774,0.0,0.0,101335.32,1,22,2023,0
43,19.05,72.8,297.8086,295.6068,0.0,0.0,101339.13,1,22,2023,0
44,18.8,72.8,296.90454,295.2999,0.0,0.0,101278.78,1,23,2023,0
45,19.05,72.8,297.3694,295.13654,0.0,0.0,101281.16,1,23,2023,0
46,18.8,72.8,296.4159,294.97736,0.0,0.0,101307.63,1,24,2023,0
47,19.05,72.8,296.878,294.83133,0.0,0.0,101309.41,1,24,2023,0
48,18.8,72.8,296.77353,294.9637,0.0,0.0,101303.49,1,25,2023,0
49,19.05,72.8,297.20645,294.8168,0.0,0.0,101309.875,1,25,2023,0
50,18.8,72.8,297.05145,295.33395,0.0,0.0,101247.49,1,26,2023,0
51,19.05,72.8,297.7264,295.3442,0.0,0.0,101252.93,1,26,2023,0
52,18.8,72.8,299.5443,296.9501,0.0,0.0,101142.31,1,27,2023,0
53,19.05,72.8,300.29636,296.96353,0.0,0.0,101146.47,1,27,2023,0
54,18.8,72.8,298.62564,297.0892,0.0,0.0,101060.695,1,28,2023,0
55,19.05,72.8,298.96866,297.03143,0.0,0.0,101055.81,1,28,2023,0
56,18.8,72.8,297.54462,296.72913,6.87e-05,2.46e-05,101023.37,1,29,2023,0
57,19.05,72.8,297.54465,296.6199,0.000146558,3.33e-05,101021.31,1,29,2023,0
58,18.8,72.8,297.92087,296.56738,1.35e-05,8.18e-07,101281.84,1,30,2023,0
59,19.05,72.8,298.4245,296.6141,4.77e-07,5.64e-08,101286.72,1,30,2023,0
60,18.8,72.8,299.10077,297.4479,0.0,0.0,101259.51,1,31,2023,0
61,19.05,72.8,299.6388,297.5493,0.0,0.0,101267.74,1,31,2023,0
62,18.8,72.8,300.6122,298.53162,0.0,0.0,101163.53,2,32,2023,0
63,19.05,72.8,300.61798,298.44882,0.0,0.0,101181.22,2,32,2023,0
64,18.8,72.8,301.48535,298.6558,0.0,0.0,101193.76,2,33,2023,0
65,19.05,72.8,302.10995,298.62985,0.0,0.0,101206.625,2,33,2023,0
66,18.8,72.8,300.85522,298.1981,0.0,0.0,101284.305,2,34,2023,0
67,19.05,72.8,301.35663,298.10843,0.0,0.0,101291.41,2,34,2023,0
68,18.8,72.8,299.6977,297.8219,0.0,0.0,101174.27,2,35,2023,0
69,19.05,72.8,300.2112,297.73862,0.0,0.0,101181.53,2,35,2023,0
70,18.8,72.8,299.39325,297.68985,0.0,0.0,101085.84,2,36,2023,0
71,19.05,72.8,300.15247,297.79547,0.0,0.0,101086.07,2,36,2023,0
72,18.8,72.8,299.4293,297.61264,0.0,0.0,101162.79,2,37,2023,0
73,19.05,72.8,300.30994,297.7642,0.0,0.0,101162.81,2,37,2023,0
74,18.8,72.8,299.7142,297.603,0.0,0.0,101140.65,2,38,2023,0
75,19.05,72.8,300.36328,297.68918,0.0,0.0,101142.125,2,38,2023,0
76,18.8,72.8,299.7011,297.73724,0.0,0.0,101136.59,2,39,2023,0
77,19.05,72.8,300.54947,297.86578,0.0,0.0,101139.68,2,39,2023,0
78,18.8,72.8,300.13004,298.18365,0.0,0.0,101160.26,2,40,2023,0
79,19.05,72.8,300.99335,298.3182,0.0,0.0,101163.43,2,40,2023,0
80,18.8,72.8,299.73065,297.9674,0.0,0.0,101309.04,2,41,2023,0
81,19.05,72.8,300.6563,298.0222,0.0,0.0,101311.875,2,41,2023,0
82,18.8,72.8,299.75012,297.80563,0.0,0.0,101382.664,2,42,2023,0
83,19.05,72.8,300.43393,297.79996,0.0,0.0,101389.27,2,42,2023,0
84,18.8,72.8,300.46954,298.4498,0.0,0.0,101364.336,2,43,2023,0
85,19.05,72.8,301.37152,298.55856,0.0,0.0,101375.04,2,43,2023,0
86,18.8,72.8,300.92694,298.83624,0.0,0.0,101348.695,2,44,2023,0
87,19.05,72.8,301.52936,298.87296,0.0,0.0,101363.625,2,44,2023,0
88,18.8,72.8,300.5973,298.34134,0.0,0.0,101333.31,2,45,2023,0
89,19.05,72.8,301.5953,298.3525,0.0,0.0,101340.12,2,45,2023,0
90,18.8,72.8,300.70837,298.52875,0.0,0.0,101180.086,2,46,2023,0
91,19.05,72.8,301.72415,298.53146,0.0,0.0,101183.1,2,46,2023,0
92,18.8,72.8,301.99292,299.34628,0.0,0.0,101186.54,2,47,2023,0
93,19.05,72.8,302.932,299.40903,0.0,0.0,101194.59,2,47,2023,0
94,18.8,72.8,302.21207,299.71835,0.0,0.0,101227.805,2,48,2023,0
95,19.05,72.8,302.89886,299.71872,0.0,0.0,101235.78,2,48,2023,0
96,18.8,72.8,302.23328,299.5627,0.0,0.0,101195.35,2,49,2023,0
97,19.05,72.8,302.9028,299.56924,0.0,0.0,101201.81,2,49,2023,0
98,18.8,72.8,301.55914,299.22055,0.0,0.0,101193.375,2,50,2023,0
99,19.05,72.8,302.55,299.33786,0.0,0.0,101195.414,2,50,2023,0
100,18.8,72.8,300.01184,298.83554,0.0,0.0,101245.41,2,51,2023,0
101,19.05,72.8,300.55063,298.90808,0.0,0.0,101240.85,2,51,2023,0
102,18.8,72.8,300.6252,298.72458,0.0,0.0,101305.75,2,52,2023,0
103,19.05,72.8,301.27197,298.7005,0.0,0.0,101304.97,2,52,2023,0
104,18.8,72.8,300.0538,298.27597,0.0,0.0,101277.836,2,53,2023,0
105,19.05,72.8,300.7957,298.23843,0.0,0.0,101280.52,2,53,2023,0
106,18.8,72.8,300.98047,298.7782,0.0,0.0,101178.21,2,54,2023,0
107,19.05,72.8,301.77255,298.67624,0.0,0.0,101182.625,2,54,2023,0
108,18.8,72.8,301.93842,299.69388,0.0,0.0,101241.04,2,55,2023,0
109,19.05,72.8,302.54736,299.6036,0.0,0.0,101247.336,2,55,2023,0
110,18.8,72.8,301.4956,299.6613,0.0,0.0,101423.77,2,56,2023,0
111,19.05,72.8,302.24506,299.58078,0.0,0.0,101431.54,2,56,2023,0
112,18.8,72.8,302.02838,299.896,0.0,0.0,101469.41,2,57,2023,0
113,19.05,72.8,302.73425,299.77567,0.0,0.0,101477.15,2,57,2023,0
114,18.8,72.8,301.98712,299.94345,0.0,0.0,101448.375,2,58,2023,0
115,19.05,72.8,302.73285,299.9412,0.0,0.0,101450.41,2,58,2023,0
